1,1,5
2,1,4
2,2,5
2,3,5
2,4,3
2,5,4
2,6,3
2,7,4
2,8,5
2,9,5
2,10,5
2,11,5
4,1,4
4,2,3
4,3,4
4,4,5
4,5,5
4,6,5
4,7,5
4,8,5
4,9,5
4,10,4
4,11,5
4,12,2
4,13,5
4,14,3
4,15,4
4,16,3
4,17,4
4,18,4
4,19,3
4,20,3
4,21,2
4,5,4
4,413,4
4,8,4
4,172,4
4,65,4
4,297,4
4,45,4
4,113,4
4,325,5
4,476,3
6,351,4
8,732,5
8,432,3
8,479,4
8,20,5
8,195,4
8,614,4
8,622,5
8,114,5
8,194,4
8,14,5
8,584,5
8,55,5
8,772,4
8,778,5
8,937,3
8,493,5
8,362,5
8,967,3
8,529,5
8,425,5
4,237,5
4,145,2
4,36,5
4,102,5
4,222,4
4,200,4
4,13,4
4,640,3
4,693,5
4,575,3
4,55,4
1,268,3
1,556,3
1,638,3
1,796,5
1,867,3
1,47,3
1,738,3
4,296,3
4,50,4
4,87,5
4,86,4
4,123,4
4,32,4
4,28,3
4,33,3
4,42,5
4,249,4
4,158,4
4,373,4
4,184,4
4,495,4
4,350,3
4,492,4
4,219,4
4,288,4
4,11,4
4,245,5
4,301,4
4,105,3
4,596,3
4,782,3
4,426,3
9,397,3
9,658,4
9,101,5
9,344,4
9,372,4
9,943,5
9,192,4
9,122,4
9,212,5
9,164,4
9,317,4
9,33,3
9,26,2
9,9,1
9,81,1
9,60,5
9,494,2
9,238,3
9,14,4
9,570,5
9,795,4
9,219,2
9,11,1
9,341,5
9,413,5
9,105,4
9,181,5
9,5,5
9,119,4
9,481,5
9,122,3
9,130,2
9,198,2
9,105,2
9,103,2
9,963,2
9,596,2
9,138,2
9,786,2
9,140,2
9,227,2
9,213,2
9,587,4
9,664,4
9,476,2
9,325,2
9,407,5
9,131,2
9,10,5
9,76,4
9,171,4
11,111,2
11,11,4
11,94,5
11,255,5
11,522,3
11,258,3
11,408,3
11,516,4
11,694,3
11,426,4
11,495,3
11,574,3
11,8,5
11,26,3
11,33,4
11,356,5
11,233,5
11,325,4
11,370,3
11,207,4
11,185,3
11,960,3
11,727,4
11,115,4
8,177,5
11,47,4
15,8,5
15,2,4
15,5,4
15,101,5
15,4,3
15,24,4
15,11,5
15,27,4
15,18,4
15,21,3
15,65,5
15,13,4
15,33,5
15,26,3
15,290,4
15,230,4
15,10,5
15,76,5
15,471,4
15,483,5
15,233,5
15,709,5
15,167,5
15,361,3
15,326,5
15,87,5
15,304,5
15,100,4
15,306,5
15,337,5
15,92,4
15,887,3
15,119,5
15,310,5
15,465,4
15,844,4
15,71,4
15,132,5
15,795,5
15,219,4
15,300,4
15,241,5
15,404,4
15,148,4
15,68,5
